indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1994,16.5582135833574,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1993,16.4430909693897,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1992,16.3566160480057,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1991,16.3025084507087,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1990,16.2844878090022,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1989,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1988,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1987,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1986,,,,0
"{'id': 'EN.ATM.PM25.MC.M3', 'value': 'PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1985,,,,0
